id,preferred_term,candidate_term,status,issue,affected_object_ids,source_ids,next_action
TERM-011,under-slab damp-proofing membrane,vapour barrier,accepted_pending_review,"The Housing Provisions use both names in the slab context, but wider building-science usage can distinguish damp-proofing, vapour control and waterproofing functions.",AU-CF-DAMP-PROOFING-MEMBRANE,SRC-ABCB-HP-FOOTINGS-SCOPE|SRC-ABCB-HP-FOOTINGS,Accept vapour barrier only when the context is the membrane directly beneath a residential slab-on-ground.
TERM-012,strip footing,edge beam,research_required,"Legacy training material notes overlapping usage in some footing-slab arrangements, but an edge beam is normally integral with or attached to a slab edge while a strip footing is a continuous footing role.",AU-CF-STRIP-FOOTING|AU-CF-EDGE-BEAM,SRC-RMIT-FOOTING-SLAB|SRC-ABCB-HP-FOOTINGS-SCOPE|SRC-ABCB-HP-FOOTINGS,Keep separate canonical roles and use the concrete pour and slab connection as disambiguating context.
TERM-013,slab void former,waffle pod,accepted_pending_review,A waffle pod is a particular box-like void former used in a waffle raft; void former is a broader class that includes other shapes and materials.,AU-CF-SLAB-VOID-FORMER|AU-CF-WAFFLE-POD,SRC-RMIT-WAFFLE-RAFT|SRC-YOURHOME-CONCRETE-SLABS,Preserve the parent-child relationship and do not use the two terms as universal exact synonyms.
TERM-014,controlled fill,rolled fill,accepted_pending_review,"Both are compacted fill, but the Housing Provisions define them as different placement and compaction categories with different application limits.",AU-SC-CONTROLLED-FILL|AU-SC-ROLLED-FILL,SRC-ABCB-HP-FOOTINGS,Keep separate objects and require the documented fill category when a tool records or quantifies under-slab fill.
TERM-015,subsoil drain,ag drain or French drain,research_required,"Ag drain is common trade language and French drain is a broader international configuration; neither term alone proves the exact pipe, aggregate and filter arrangement.",AU-SC-SUBSOIL-DRAIN|AU-SC-SUBSOIL-DRAINAGE-SYSTEM,SRC-ABCB-HP-SITE-DRAINAGE,Research Australian plumbing and civil guidance before promoting either term to an exact synonym.
TERM-016,termite management system,termite barrier,accepted_pending_review,A barrier may be only one component; the NCC explicitly warns that components such as a concrete slab need integration with other details to form a complete system.,AU-TM-TERMITE-MANAGEMENT-SYSTEM|AU-TM-SHEET-BARRIER|AU-TM-STAINLESS-MESH-BARRIER|AU-TM-GRADED-STONE-BARRIER,SRC-ABCB-HP-TERMITE|SRC-CSIRO-MANAGING-TERMITES,Never infer whole-system coverage from the presence of one barrier component in a model.
TERM-017,stormwater detention or retention tank,rainwater tank,research_required,"The vessels can look alike, but detention, retention and rainwater reuse describe different storage and outlet functions that may coexist in one product.",AU-SC-STORMWATER-TANK,SRC-ABCB-HP-SITE-DRAINAGE,Split configured tank roles during the full stormwater and plumbing pass and retain shared physical product mappings separately.
TERM-018,vertical masonry articulation joint,control joint,research_required,"The terms overlap in trade usage, but the Housing Provisions also use control-joint language for junctions between different masonry materials, so an automatic synonym could produce the wrong joint geometry.",AU-MA-VERTICAL-ARTICULATION-JOINT|AU-MA-SLIP-JOINT-MEMBRANE,SRC-ABCB-HP-MASONRY-COMPONENTS|SRC-RMIT-MASONRY-ARTICULATION,"Keep movement purpose, orientation and material-junction context explicit before resolving control joint to an object."
TERM-019,masonry damp-proof course,masonry flashing,accepted_pending_review,"The same sheet product can perform both roles, but a DPC interrupts capillary moisture while a flashing collects and drains water along a shaped path.",AU-MA-DAMP-PROOF-COURSE|AU-MA-MASONRY-FLASHING,SRC-ABCB-HP-MASONRY-WEATHERPROOFING|SRC-RMIT-MASONRY-FLASHINGS,Retain separate role objects and allow one modelled product instance to carry both roles only when the detail supports both.
TERM-020,masonry perpend,weephole,accepted_pending_review,"A weephole is commonly formed by deliberately leaving a perpend open, but an ordinary filled perpend is a mortar joint and must not be treated as a drainage opening.",AU-MA-PERPEND-JOINT|AU-MA-WEEPHOLE,SRC-DICTIONARY-PERPEND|SRC-DICTIONARY-WEEPHOLE|SRC-ABCB-HP-MASONRY-WEATHERPROOFING,"Model the weephole as an opening state at a selected perpend location, never as the default state of every perpend."
TERM-021,concrete masonry block,Besser block,accepted_pending_review,Besser is widely used in Australian speech for concrete blockwork but originates as a proprietary name and does not identify every concrete masonry block product.,AU-MA-CONCRETE-BLOCK,SRC-ABCB-HP-MASONRY-COMPONENTS|SRC-YOURHOME-BRICKWORK-BLOCKWORK,Retain Besser block as a proprietary search term only; generate a generic concrete masonry block unless a product is explicitly selected.
TERM-022,masonry veneer wall,reverse masonry veneer wall,accepted_pending_review,"Both use a framed wall and a single masonry leaf, but conventional masonry veneer puts the leaf outside the frame as the weather skin while reverse veneer puts it inside for exposed thermal mass.",AU-MA-MASONRY-VENEER-WALL|AU-MA-REVERSE-MASONRY-VENEER-WALL,SRC-ABCB-HP-MASONRY-VENEER|SRC-YOURHOME-BRICKWORK-BLOCKWORK,Require inside-versus-outside leaf position before generating veneer geometry.
TERM-023,cold-formed steel framing,structural steel framing,accepted_pending_review,"Both are steel structures, but residential light-gauge members are formed from thin sheet and commonly follow NASH or AS/NZS 4600, while structural steel members such as universal beams and columns use different sections, connections and design pathways.",AU-SF-FRAMING-SYSTEM,SRC-ABCB-V2-H1-FRAMING|SRC-NASH-STEEL-INNOVATION,Require light-gauge versus hot-rolled or hollow-section context before choosing a steel member family.
TERM-024,steel wall top track or bottom track,steel wall plate,research_required,"Australian steel-frame sources use both plate and track language, but proprietary systems can distinguish section forms and functions at the wall head and base.",AU-SF-TOP-TRACK|AU-SF-BOTTOM-TRACK,SRC-NASH-GENERAL-GUIDE|SRC-NASH-STEEL-INNOVATION,Accept plate as a search synonym but preserve the selected system's top-track and bottom-track product identities.
TERM-025,steel floor boundary joist,rim joist or rim track,research_required,"All terms can describe a floor-edge member, but the physical section and whether it behaves as a joist, track or proprietary cassette edge vary by system.",AU-SF-BOUNDARY-JOIST|AU-SF-FLOOR-CASSETTE,SRC-NASH-GENERAL-GUIDE|SRC-NASH-PART2-METADATA,Use boundary member as the family role and obtain the exact section and connection from the frame supplier.
TERM-026,prefabricated steel floor cassette,ladder floor frame,accepted_pending_review,A ladder frame is one parallel-rail and cross-member configuration; floor cassette is a broader prefabricated module and can use other layouts.,AU-SF-FLOOR-CASSETTE,SRC-NASH-GENERAL-GUIDE,Store ladder as a cassette-layout attribute unless the selected proprietary system establishes it as a separate product object.
TERM-027,steel framing self-drilling screw or masonry anchor,Tek screw or Dynabolt,accepted_pending_review,Tek and Dynabolt are proprietary or genericised trade names and do not identify every compatible screw or anchor product.,AU-SF-SELF-DRILLING-SCREW|AU-SF-MASONRY-ANCHOR,SRC-NASH-GENERAL-GUIDE|SRC-BLUESCOPE-TB34-STEEL-FRAMES,"Keep both as search terms only and require product, substrate, coating and connection schedule before drawing or counting a specific fastener."
TERM-028,structural member role plus section designation,"beam, column or bearer used as a section name",accepted_pending_review,"A role tells what the member does, while UB, UC, PFC, RHS and other section designations tell its cross-sectional form. Everyday speech often collapses the two and can select the wrong geometry or load-path object.",AU-SS-MEMBER|AU-SS-BEAM|AU-SS-BEARER|AU-SS-COLUMN|AU-SS-SECTION|AU-SS-UB|AU-SS-UC,SRC-ABCB-HP-STRUCTURAL-STEEL|SRC-ASI-SECTION-RANGE|SRC-ASI-CONNECTIONS-HANDBOOK,Make future drawing commands resolve both role and profile; never infer UC merely from column or UB merely from beam.
TERM-029,specified Australian section designation,I-beam or RSJ,research_required,"I-beam describes a broad shape and RSJ is ambiguous trade shorthand. Neither reliably distinguishes UB, UC, TFB, WB or an older or imported section family.",AU-SS-UB|AU-SS-UC|AU-SS-TFB|AU-SS-WB|AU-SS-WC,SRC-ASI-SECTION-RANGE,"Treat I-beam and RSJ as search prompts that require a section designation, dimensions or verified existing-building record before geometry is generated."
TERM-030,column base plate connection,base plate,accepted_pending_review,"Base plate can mean the single steel plate or casually mean the full column-to-support assembly including welds, anchors, nuts, washers, grout and substrate interface.",AU-SS-BASE-PLATE-CONNECTION|AU-SS-BASE-PLATE|AU-SS-ANCHOR-BOLT,SRC-ASI-BASE-PLATE|SRC-ASI-DESIGN-CONSTRUCTION,Keep the plate and connection assembly as separate objects; ask whether a command intends only the plate or the installed base assembly.
TERM-031,structural bolt or anchor bolt according to function,bolt,accepted_pending_review,"A member-to-member structural bolt passes through connected steel plies, while an anchor bolt connects a base plate into concrete or masonry. Their hosts, geometry and installation data differ.",AU-SS-STRUCTURAL-BOLT|AU-SS-ANCHOR-BOLT,SRC-ASI-CONNECTIONS-HANDBOOK|SRC-ASI-BASE-PLATE,"Use connection context and substrate to resolve the bolt family before drawing, scheduling or counting it."
TERM-032,designed structural steel member web penetration,service hole,hold,Service hole can mean a factory-punched opening in light-gauge framing or a separately designed cut-out in a hot-rolled member web. The same short term must not authorise either geometry automatically.,AU-SS-WEB-PENETRATION|AU-SF-SERVICE-HOLE,SRC-ABCB-HP-STRUCTURAL-STEEL|SRC-ASI-DESIGN-ECONOMY|SRC-NASH-GENERAL-GUIDE,Require the host member family and approved opening schedule before resolving service hole to a drawable opening.
TERM-033,roof sarking when the pliable layer performs the roof-underlay role,"sarking, underlay, vapour barrier or reflective insulation",accepted_pending_review,"These words can describe overlapping products but not the same installed function. A pliable roof underlay may manage water, air, vapour and radiation differently according to its classification, laps, ventilation and roof assembly.",AU-RO-ROOF-SARKING|AU-RO-SARKING-JOINT-TAPE,SRC-ABCB-HP-ROOF-TILES|SRC-YOURHOME-CONSTRUCTION-SYSTEMS,"Resolve the product classification and intended control functions before drawing layer direction, taped joints, ventilation gaps or claiming it is a vapour barrier."
TERM-034,profiled metal roof sheet,Colorbond roof,accepted_pending_review,"COLORBOND is a proprietary prepainted steel product family, not the generic name for every metal roof sheet, profile, base metal, coating or complete roof assembly.",AU-RO-METAL-ROOF-SHEET|AU-RO-METAL-SHEET-ROOF,SRC-ABCB-HP-SHEET-ROOFING|SRC-LYSAGHT-ROOFING-WALLING-MANUAL,"Treat Colorbond as a product or finish cue; still require profile, thickness, coating, sheet length, fixing system and manufacturer compatibility."
TERM-035,corrugated metal roof sheet with specified material and coating,corrugated iron or tin roof,accepted_pending_review,"Common Australian speech preserves historical material names even when the installed sheet is usually coated steel. The slang does not confirm the base metal, coating, thickness or profile dimensions.",AU-RO-CORRUGATED-METAL-SHEET|AU-RO-METAL-SHEET-ROOF,SRC-ABCB-HP-SHEET-ROOFING|SRC-SA-HB-39-2015,Use the slang for search and recognition only; require a scheduled product or measured existing profile before generating exact geometry or material data.
TERM-036,flashing or capping according to junction and water-shedding role,flashing or capping,accepted_pending_review,"Both are folded weathering pieces and some details combine the roles. Capping usually covers an exposed ridge, hip, barge or parapet edge, while flashing bridges or drains a junction, abutment or penetration.",AU-RO-ROOF-FLASHING|AU-RO-METAL-RIDGE-CAPPING|AU-RO-METAL-HIP-CAPPING|AU-RO-METAL-BARGE-CAPPING|AU-RO-PARAPET-CAPPING,SRC-ABCB-HP-SHEET-ROOFING|SRC-SA-HB-39-2015|SRC-LYSAGHT-ROOFING-WALLING-MANUAL,"Classify the object from its host junction, cross-section and drainage role, while retaining the alternate word as a search cue where industry usage overlaps."
TERM-037,valley gutter for the formed water-carrying channel,"roof valley, valley gutter or valley flashing",accepted_pending_review,"Roof valley can mean the geometric intersection line, while valley gutter and valley flashing can both refer to the formed piece under the cut roof coverings. Geometry and function must be separated.",AU-RD-VALLEY-GUTTER|AU-RO-ROOF-FLASHING,SRC-ABCB-HP-ROOF-TILES|SRC-SA-HB-39-2015,"Use valley gutter for the drawable channel, store the roof-valley line as geometry, and use valley flashing as a related search term unless a source defines a distinct detail."
TERM-038,mortar bedding and flexible pointing as separate ridge or hip components,bedded and pointed ridge,accepted_pending_review,"Bedding supports and seats capping tiles, while pointing finishes and seals the exposed edges. A single casual phrase can hide two materials with different geometry and maintenance behaviour.",AU-RO-RIDGE-HIP-MORTAR-BEDDING|AU-RO-FLEXIBLE-POINTING|AU-RO-RIDGE-TILE|AU-RO-HIP-TILE,SRC-ABCB-HP-ROOF-TILES|SRC-ARTA-TECHNICAL,Generate bedding and pointing as separate continuous components around the capping tile and preserve the chosen mechanical fixing or clip as another object.
TERM-039,gutter outlet,"dropper, pop or nozzle",accepted_pending_review,"Trade and regional words vary for the fitting that transfers normal gutter flow to a downpipe. Nozzle can also mean an overflow device, so the short word does not establish normal-flow versus overflow function.",AU-RD-GUTTER-OUTLET|AU-RD-INVERTED-OVERFLOW-NOZZLE,SRC-ABCB-HP-GUTTERS-DOWNPIPES|SRC-SA-HB-39-2015,"Ask whether the fitting is the normal downpipe outlet or a dedicated overflow; then resolve its host face, throat, level, shape and connected object."
TERM-040,rainhead for the external visible collection box and box gutter sump for the internal depressed collector,rainhead or sump,accepted_pending_review,"Both receive gutter water and feed an outlet, but their position and failure behaviour differ. A rainhead relieves surcharge visibly outside; a box gutter sump is part of an internal gutter system and needs an independently resolved overflow path.",AU-RD-RAINHEAD|AU-RD-BOX-GUTTER-SUMP|AU-RD-BOX-GUTTER-SYSTEM,SRC-ABCB-HP-GUTTERS-DOWNPIPES|SRC-SA-HB-39-2015,"Resolve inside-versus-outside location, incoming gutter, outlet and overflow route before selecting geometry or making a substitution."
TERM-041,soaker gutter for a continuous concealed channel and soaker tray flashing for a local penetration or abutment tray,"soaker, soaker tray or soaker gutter",research_required,The words overlap in roofing practice. A continuous narrow drainage channel differs from a local tray flashing and from individual soakers placed beneath small-unit roof coverings.,AU-RD-SOAKER-GUTTER|AU-RO-SOAKER-TRAY-FLASHING,SRC-SA-HB-39-2015|SRC-LYSAGHT-ROOFING-WALLING-MANUAL,"Use path length, host, inlet edges and discharge point to choose the continuous gutter or local flashing object; add individual tile soakers only after a primary source confirms their distinct geometry."
TERM-042,downpipe above ground and stormwater drain below ground,stormwater pipe,accepted_pending_review,"Stormwater pipe can casually mean either the visible roof-water leader or the buried drain. The two have different supports, fittings, geometry, inspection needs and relationships to the building.",AU-RD-DOWNPIPE|AU-SC-STORMWATER-DRAIN|AU-RD-DOWNPIPE-STORMWATER-ADAPTOR,SRC-ABCB-HP-GUTTERS-DOWNPIPES|SRC-ABCB-HP-SITE-DRAINAGE,Resolve above-ground versus buried location and use the adaptor as the explicit transition between the two systems.
TERM-043,cladding material plus board profile,weatherboard,accepted_pending_review,"Weatherboard describes a wall-cladding form but does not establish whether the board is solid timber, fibre cement, exterior hardboard or another proprietary material. Those materials have different cuts, fixings, joints and finishes.",AU-CL-TIMBER-WEATHERBOARD|AU-CL-FIBRE-CEMENT-CLADDING-BOARD|AU-CL-HARDBOARD-CLADDING-BOARD,SRC-ABCB-HP-WALL-CLADDING|SRC-FWPA-D01-CLADDING,"Treat weatherboard as a form cue and require the material or product family before selecting geometry, cutting rules, fixings or coating."
TERM-044,exterior hardboard or fibre cement according to the product,Masonite or cement sheet,accepted_pending_review,"Masonite is genericised proprietary language often used for hardboard, while cement sheet is loose trade language usually aimed at fibre cement. Neither word proves the product standard, exterior grade or exact material.",AU-CL-HARDBOARD-CLADDING-BOARD|AU-CL-HARDBOARD-CLADDING-SHEET|AU-CL-FIBRE-CEMENT-CLADDING-BOARD|AU-CL-FIBRE-CEMENT-CLADDING-SHEET,SRC-ABCB-HP-WALL-CLADDING|SRC-ISO-8336-2017,"Use product evidence or material schedule to resolve hardboard versus fibre cement before drawing edges, joints, fasteners or finishes."
TERM-045,"board, sheet or structural panel according to geometry and role",cladding panel,accepted_pending_review,"Panel is used casually for broad sheets, factory panels and complete facade modules. A long narrow board, a thin fixed sheet and a reinforced AAC panel have different support, joint and load behaviour.",AU-CL-WALL-CLADDING-BOARD|AU-CL-WALL-CLADDING-SHEET|AU-CL-REINFORCED-AAC-WALL-PANEL,SRC-ABCB-HP-WALL-CLADDING|SRC-HEBEL-EXTERNAL-WALLS,"Resolve unit width-to-length form, thickness, material, reinforcement and support method before assigning an object class."
TERM-046,direct-fixed wall arrangement or face-fixed fastener according to context,direct fix or face fix,accepted_pending_review,"Direct fix describes the wall build-up without a drained cavity. Face fix describes where a fastener passes through the visible cladding face. A direct-fixed wall can still use concealed board edges, and cavity cladding can be face-fixed.",AU-CL-DIRECT-FIXED-CLADDING-WALL|AU-CL-DRAINED-CAVITY-CLADDING-WALL|AU-CL-CONCEALED-CLADDING-CLIP,SRC-ABCB-V2-H2-WEATHERPROOFING|SRC-JH-AXON-INSTALL-GUIDE,Store wall build-up and fastener visibility as separate properties; never infer one from the other.
TERM-047,cladding drainage cavity when referring to the clear space behind lightweight cladding,cavity or rainscreen,accepted_pending_review,"Cavity can also mean a masonry wall cavity, while rainscreen may describe a broader pressure-moderated or ventilated facade concept. The short words do not define depth, drainage, ventilation, fire barriers or closures.",AU-CL-CLADDING-CAVITY|AU-CL-DRAINED-CAVITY-CLADDING-WALL|AU-MA-MASONRY-CAVITY,SRC-ABCB-V2-H2-WEATHERPROOFING|SRC-FWPA-D01-CLADDING,"Resolve the wall system, boundary layers, clear path, openings and barriers before generating cavity geometry."
TERM-048,"external wall weather barrier with stated water, air and vapour classifications","wall wrap, sarking or vapour barrier",accepted_pending_review,"Wall wrap and sarking are common product-family words. Vapour barrier claims a particular vapour-control function that may be wrong for the selected membrane, climate and wall build-up.",AU-CL-WALL-WEATHER-BARRIER|AU-CL-WEATHER-BARRIER-SEAM-TAPE|AU-RO-ROOF-SARKING,SRC-ABCB-HP-WALL-CLADDING|SRC-FWPA-D01-CLADDING,"Require membrane classification, location and intended control functions before treating the layer as a vapour barrier or choosing which seams and penetrations are sealed."
TERM-049,cladding movement joint assembly,"control joint, expansion joint or H flashing",accepted_pending_review,"Control and expansion joint describe movement roles, while an H-shaped profile may be only one joining or flashing component. The visible trim does not prove gap width, support separation, backing, sealant or drainage.",AU-CL-CLADDING-MOVEMENT-JOINT|AU-CL-CLADDING-EXPANSION-GAP|AU-CL-HORIZONTAL-INTERSTOREY-FLASHING|AU-CL-CLADDING-JOINER,SRC-FWPA-D01-CLADDING|SRC-JH-AXON-INSTALL-GUIDE,"Model the movement gap and weathering assembly first, then attach the selected H profile, flashing or cover as a component."
TERM-050,corner flashing behind and corner trim at the visible face,"corner mould, corner angle or corner flashing",accepted_pending_review,"A visible corner trim finishes cladding edges; a concealed corner flashing supplies secondary weather protection. One folded angle can sometimes perform both roles, but they should not be collapsed without the detail.",AU-CL-CORNER-FLASHING|AU-CL-EXTERNAL-CORNER-TRIM|AU-CL-INTERNAL-CORNER-TRIM,SRC-FWPA-D01-CLADDING|SRC-JH-AXON-INSTALL-GUIDE,"Resolve visibility, position relative to the membrane, water path and edge-receiving profile before choosing flashing, trim or a combined product."
TERM-051,reinforced AAC panel or unreinforced AAC block according to product and structure,Hebel or AAC wall,accepted_pending_review,"Hebel is proprietary language and AAC names a material family. Reinforced external panels and unreinforced blocks differ in reinforcement, unit geometry, supports, joints and applicable system documentation.",AU-CL-REINFORCED-AAC-WALL-PANEL|AU-CL-AAC-PANEL-CLADDING,SRC-ABCB-V2-H1-ROOF-CLADDING|SRC-HEBEL-EXTERNAL-WALLS|SRC-SA-AS-5146-1-2015,"Require the supplied system and confirm panel versus block construction before generating units, joints, cuts or fixings."
TERM-052,solid metal sheet wall cladding when using the AS 1562.1 pathway,metal panel or aluminium composite panel,hold,The NCC guidance distinguishes solid metal sheeting from laminated and composite metal panels. Similar facade appearance does not place a composite panel within the solid-sheet DTS pathway.,AU-CL-METAL-SHEET-WALL-CLADDING|AU-CL-PROFILED-METAL-WALL-SHEET,SRC-ABCB-METAL-WALL-CLADDING-GUIDANCE|SRC-LYSAGHT-WALLING-SOLUTIONS,Require product construction and evidence of suitability; do not map composite or laminated panels to solid metal sheet objects or AS 1562.1 automatically.
TERM-053,eaves or soffit lining according to the underside area being closed,"eaves sheet, soffit sheet or fibro",accepted_pending_review,"The first two terms often identify the same external underside role, while fibro is legacy trade language that may imply fibre cement but does not establish a non-asbestos product, thickness or product standard.",AU-CL-EAVES-SOFFIT-LINING-SYSTEM|AU-CL-FIBRE-CEMENT-SOFFIT-SHEET,SRC-ABCB-HP-WALL-CLADDING|SRC-ISO-8336-2017,"Use location to resolve eaves versus soffit and require verified product identity before assigning fibre-cement material, especially in existing buildings."
TERM-054,window perimeter frame or rough wall opening framing according to context,window frame,accepted_pending_review,"Window frame usually means the factory product around the sashes and glass, but builders may use the phrase for studs, lintel and trimmers forming the wall opening. These are separate assemblies with different geometry and load paths.",AU-WD-WINDOW-FRAME|AU-WD-WINDOW-ASSEMBLY|AU-TF-JAMB-STUD|AU-TF-LINTEL|AU-TF-HEAD-TRIMMER,SRC-AGWA-WINDOW-TERMINOLOGY|SRC-ABCB-HP-WINDOWS-DOORS,Ask whether the command means the manufactured fenestration frame or the structural rough-opening framing before drawing or measuring it.
TERM-055,window sash for a moving framed window part and door leaf or panel for a moving door part,sash or panel,accepted_pending_review,"A sash is the framed moving or fixed glazed part of a window. Panel is broader and can mean a glass pane, door panel, fixed field or complete infill. Interchanging them loses hardware, track and perimeter-member meaning.",AU-WD-WINDOW-SASH|AU-WD-SLIDING-DOOR-OPENING-PANEL|AU-GL-GLASS-PANE,SRC-AGWA-WINDOW-TERMINOLOGY|SRC-AGWA-FENESTRATION-TERMS,"Resolve window versus door, moving versus fixed, and framed component versus bare glass before assigning the term."
TERM-056,window sill or door threshold according to the opening,sill,accepted_pending_review,"A window sill is the lower horizontal frame member and drainage zone. A door threshold is the trafficable lower frame component. Both can be called sill in product language, but clearance, accessibility, track and weathering geometry differ.",AU-WD-WINDOW-SILL|AU-WD-DOOR-THRESHOLD,SRC-AGWA-WINDOW-TERMINOLOGY|SRC-AGWA-FENESTRATION-TERMS,Use the host opening and whether people cross it to resolve sill versus threshold; retain manufacturer naming as an alias.
TERM-057,"frame mullion, coupling mullion, meeting stile or interlock stile according to role",mullion,accepted_pending_review,"A frame mullion divides fixed frame bays, a coupling mullion joins separate units, and meeting or interlock stiles are edge members on moving sashes or door panels. They can align visually but have different hosts and connections.",AU-WD-FRAME-MULLION|AU-WD-COUPLING-MULLION|AU-WD-MEETING-RAIL|AU-WD-DOOR-INTERLOCK-STILE|AU-WD-DOOR-MEETING-STILE,SRC-AGWA-WINDOW-TERMINOLOGY|SRC-AGWA-FENESTRATION-TERMS,Resolve fixed frame versus moving panel and whether the member divides one product or couples two products before generating the profile.
TERM-058,"fixed glazed light, fixed sash or fixed window assembly according to construction level",fixed window or fixed panel,accepted_pending_review,"A fixed window is the complete product. A fixed light is the non-opening glazed field. Some products hold that field directly in the main frame while others use a non-operating sash, so visual immobility does not identify the component structure.",AU-WD-FIXED-WINDOW|AU-GL-FIXED-LIGHT-ASSEMBLY|AU-WD-WINDOW-SASH,SRC-AGWA-FENESTRATION-TERMS|SRC-AGWA-WINDOW-TERMINOLOGY,"Ask whether the command targets the complete installed window or only one non-opening glazed field, then obtain the product detail for direct glazing versus fixed sash."
TERM-059,"insect flyscreen, security screen or fall-protection screen according to tested function",screen,hold,These products may all look like framed mesh. An ordinary flyscreen excludes insects but does not automatically provide security or resist the window-fall loads required of a protection screen.,AU-WD-FLYSCREEN-ASSEMBLY|AU-WD-WINDOW-FALL-PROTECTION-SCREEN,SRC-ABCB-HP-WINDOW-PROTECTION|SRC-SA-AS-5203-2016|SRC-AGWA-FENESTRATION-TERMS,Require the intended function and product evidence; never promote an insect screen to a security or fall-protection role from appearance.
TERM-060,"opening weatherseal, glazing gasket or wall-opening perimeter seal according to interface",seal or rubber,accepted_pending_review,"A sash weatherseal seals moving frame edges, a glazing gasket cushions and seals glass inside a rebate, and the perimeter seal closes the installed frame-to-wall joint. Combining them produces wrong routes and quantities.",AU-WD-WEATHERSEAL-ASSEMBLY|AU-WD-OPENING-PERIMETER-SEAL-ASSEMBLY|AU-GL-GLAZING-GASKET,SRC-ABCB-HP-BUILDING-SEALING|SRC-ABCB-HP-GLASS|SRC-AGWA-FENESTRATION-TERMS,"Resolve the two surfaces being sealed—moving panel to frame, glass to rebate, or window frame to wall—before selecting a seal object."
